Parent,Subcomponent,Material,Mesh,BC,,Comment
XENT-TPC_20250428,XENT-TPC-A_Warm,NA,0,NA,,Field Cage + Pannels
XENT-TPC-A_Warm,XENT-TPC-A1A_Warm***,Copper,1,FieldShapingGuard,,Field Cage Guard n half
XENT-TPC-A_Warm,XENT-TPC-A1B_Warm***,Copper,1,FieldShapingGuard,,Field Cage Guard n half
XENT-TPC-A_Warm,XENT-TPC-A2_FibrePanel***,PTFE,1,NA,,PTFE Wall + Field Cage clips - Wide panels every other
XENT-TPC-A_Warm,XENT-TPC-A2_Warm***,PTFE,1,NA,,PTFE Wall + Field Cage clips - Wide panels every other
XENT-TPC-A_Warm,XENT-TPC-A2_Resistor Chain Left,PTFE,1,NA,,PTFE Wall with resistor chain (outer - maybe)
XENT-TPC-A_Warm,XENT-TPC-A2_Resistor Chain Right,PTFE,1,NA,,Same as above
XENT-TPC-A_Warm,XENT-TPC-A2_Wire Junction,PTFE,1,NA,,PTFE WAll with special wire piece not sure what it is
XENT-TPC-A_Warm,XENT-TPC-A3_Warm***,Copper,1,CopperRing,,Part of Copper ring
XENT-TPC-A_Warm,XENT-TPC-A7_Warm***,Copper,1,CopperRing,,Part of Copper ring
XENT-TPC-A_Warm,XENT-TPC-A8_Warm***,Copper,1,CopperRing,,Part of Copper ring
XENT-TPC-A_Warm,XENT-TPC-A16_Warm***,Copper,1,CopperRing,,Part of Copper ring
XENT-TPC-A_Warm,XENT-TPC-A11_Warm***,PTFE,1,NA,,Copper Ring insulation
XENT-TPC-A_Warm,XENT-TPC-A4_Warm***,PTFE,1,NA,,Copper Ring insulation
XENT-TPC-A_Warm,XENT-TPC-A12_Warm***,PTFE,1,NA,,Copper Ring insulation
XENT-TPC-A_Warm,XENT-TPC-A22_Warm***,PTFE,1,NA,,Copper Ring insulation
XENT-TPC-A_Warm,XENT-TPC-A14_Warm***,PTFE,1,NA,,Part of thing on Copper ring
XENT-TPC-A_Warm,XENT-TPC-A4_Warm***,PTFE,1,NA,,Part of thing on Copper ring
XENT-TPC-A_Warm,XENT-TPC-A5_Warm***,PTFE,1,NA,,Part of thing on Copper ring
XENT-TPC-A_Warm,XENT-TPC-A26_Warm,PTFE,1,NA,,Part of thing on Copper ring
XENT-TPC-A_Warm,XENT-TPC-A28_Warm,PTFE,1,NA,,Part of thing on Copper ring
XENT-TPC-A_Warm,XENT-TPC-A29_Warm,PTFE,1,NA,,Part of thing on Copper ring
XENT-TPC-A_Warm,XENT-TPC-A9_Warm***,PTFE,0,NA,,PTFE Part of Bell to Copper ring clamp
XENT-TPC-A_Warm,XENT-TPC-A5_Warm***,Copper,0,NA,,Half of copper parts on bottom of TPC : TODO Investigate
XENT-TPC-A_Warm,XENT-TPC-A6_Warm***,Copper,1,FieldShapingRing,,Field Shaping
XENT-TPC-A_Warm,XENT-TPC-AI_Warm - Pillar Cover***,PTFE,1,NA,,PTFE Pillar + Cover
XENT-TPC-A_Warm,XENT-TPC-AI_Warm***,PTFE,1,NA,,PTFE Pillar
XENT-TPC-A_Warm,XENT-TPC-AI_Warm - Cathode_HVFT***,PTFE,1,NA,,PTFE Pillar HVFT Feed
XENT-TPC-A_Warm,XENT-TPC-AX1_Warm***,PTFE,0,NA,,Field Shaping Ring Clip on
XENT-TPC-A_Warm,XENT-TPC-AW1_Warm***,PTFE,0,NA,,Field Shaping Ring Clip on
XENT-TPC-A_Warm,XENT-TPC-AV1_Warm***,PTFE,0,NA,,Field Shaping Ring Clip on
XENT-TPC-A_Warm,XENT-TPC-A18_Warm***,PTFE,0,NA,,Pillar Cover attachment outside
XENT-TPC-A_Warm,XENT-TPC-A19_Warm***,PTFE,1,NA,,Outer Pannel attachment PTFE to Cathode PTFE insulator
XENT-TPC-A_Warm,XENT-TPC-A21_Warm***,PTFE,1,NA,,Outer Pannels
XENT-TPC-A_Warm,XENT-TPC-A23_Warm***,PTFE,1,NA,,Outer Attachments on Pillar Cover
XENT-TPC-A_Warm,MC-640-NA_91292A***,,0,NA,,Screws
XENT-TPC-A_Warm,MC-535-NA_91292A***,,0,NA,,Screws
XENT-TPC-A_Warm,93475A240_93475A***,,0,NA,,Washers
